Year,Nigeria,Adamawa,Akwa Ibom,Anambra,Benue,Borno,Cross River,Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1956,1136.25,1007.4,2869.65,1902.37,1522.74,660.48,2685.85,2194.5,1689.26,1010.43,2251.67,770.47,982.19,797.58,814.37,929.29,1219.39,1019.2,1305.99,978.14,1184.78,1250.26,1011.85,1312.41,662.75,2408.51,892.18,2564.75,2134.64,1300.06,1797.74,841.1,1032.91,1494.21,1014.71,2556.55,760.53,940.41
1957,1441.45,1182.1,2994.5,2267.65,1805.69,716.09,2869.57,2900.5,2308.92,1392.47,2603.77,891.92,1464.53,1115.19,1069.88,1118.44,1575.69,1433.48,2148.08,1360.54,1884.76,1882.85,1496.76,1580.15,712.79,2682.18,1172.13,3060.45,2358.15,1792.95,2013.73,1082.38,1382.89,2213.53,1361.93,2848.93,906.6,1218.45
1958,1119.92,1101.12,2439.66,1650.6,1346.55,711.35,2288.99,1951.51,1533.44,1039.15,2005.41,832.47,1107.34,938.52,886.11,830.06,1121.72,968.78,1437.69,992.99,1210.99,1187.07,932.54,1279.99,704.03,2113.07,1012.22,2248.71,1831.61,1262.5,1528.97,996.3,1008.47,1440.42,1043.57,2259.79,835.16,1012.03
1959,1241.83,1110.75,2972.88,1890.11,1518.15,758.53,2605.99,2347.12,1791.67,1136.29,2247.89,794.08,1219.88,904.51,889.6,953.43,1244.65,1215.5,1758.83,1145.63,1530.95,1443.83,1269,1389.79,686.57,2389.57,1021.38,2617.51,2028.06,1397.12,1704.94,987.88,1152.62,1696.95,1198.38,2594.54,799.2,1014.29
1960,1300.99,1227.69,3099.64,2082.29,1643.71,735.64,2767.67,2503.18,1931.93,1273.26,2467.88,735.82,1226.11,893.77,916.34,980.62,1426.08,1347.01,1668.61,1227.53,1492.08,1517.13,1363.2,1458.35,697.4,2597.8,1007.9,2811.1,2260.86,1553.47,1928.05,1033.24,1230.03,1761.16,1194.98,2790.82,759.34,1054.5
1961,1137.34,999.66,2601.27,1876.38,1368.76,751.15,2332.69,2313.2,1746.31,976.51,2225.37,861.53,970.41,894.13,887.26,866.1,1170.06,1018.42,1617.97,985.25,1410.88,1296.04,1069.41,1242.31,751.3,2286.22,935.02,2561.48,1924.53,1265.83,1685.23,903.06,964.78,1617.45,936.33,2474.56,776.37,928.83
1962,1356.02,1149.42,2991.99,2152.09,1723.81,668.57,2745.77,2616.74,2039.65,1306.42,2500.72,807.71,1386.57,1002.61,923.68,1033.22,1469.55,1406.16,2009.34,1347.42,1784.94,1631.92,1485.72,1527.47,647.85,2597.44,1113.9,2853.09,2269.2,1609.11,1968.71,1017.88,1294.52,1914.93,1301.83,2759.07,774.63,1087.42
1963,1354.27,1237,2437.45,2116.4,1687.66,630.97,2448.01,2721.33,2256.57,1374.57,2343.32,747.03,1273.02,936.78,900.57,1002.41,1573.61,1522.24,2230.51,1323.36,1987.69,1874.75,1728.83,1490.83,629.89,2341.71,1046.91,2805.77,2126.54,1813.47,1876.86,1068.08,1367.36,2179.07,1327.37,2515.24,741.07,1058.53
1964,1240.62,1033.58,2865.53,1902.44,1623.09,668.1,2624.78,2153.42,1694.24,1236.1,2197.13,823.54,1224.43,966.86,948.83,1088.63,1315.77,1113.83,1539.28,1183.96,1310.82,1290.85,1046.63,1489.83,781.44,2336.44,1048.81,2419.79,2115.42,1332.19,1799.83,961.67,1228.45,1538.48,1198.2,2480.17,844.4,1067.39
1965,1201,1024.46,3035.48,1978.68,1492.42,606.17,2615.66,2521.41,1928.57,1096.25,2385.39,684.39,1097.85,891.33,867.46,933.47,1282.08,1133.72,2116.18,1056,1758.8,1606.08,1271.64,1293.63,568.27,2519.22,893.4,2742.11,2083.8,1476.59,1768.99,835.3,1077.18,1879.39,1017.36,2736.55,849.74,1020.94
1966,1253.21,1002.51,2896.07,2035.87,1700.82,640.25,2621.58,2469.51,1934.49,1296.29,2346.82,702.39,1272.69,942.5,893.63,941.98,1409.59,1173.99,1615.9,1167.94,1426.77,1401.87,1169.01,1468.9,626.53,2452.57,985.81,2726.94,2181,1476.54,1891.22,891.95,1303.87,1729.12,1249.61,2662.4,775.91,1046.74
1967,1172.17,1052.03,2650.58,1864.19,1513.13,691.59,2511,2251.25,1714.74,1140.16,2199.07,723.08,1126.34,855.76,842.21,925.17,1242.12,1123.61,1475.65,1083.37,1288.75,1241.7,1114.5,1337.79,658.66,2304.11,952.14,2511.39,2016.81,1279.9,1702.69,975.37,1131.2,1535.92,1105.79,2445.03,746.56,945.23
1968,1315.49,1124.76,2755.35,1946.22,1606.89,653.18,2559.17,2731.78,2212.89,1319.15,2251.13,590.31,1188.06,798.31,721.11,946.96,1513.44,1505.61,2739.07,1283.19,2308.93,2172.86,1757.55,1431.95,630.03,2357.98,969.41,2721.22,2023.48,1877.43,1742.04,1009.95,1294.43,2374.75,1256.83,2531.92,648.88,862.97
1969,1292.78,1152.43,3202.62,2151.32,1753.53,546.17,2896.91,2595.89,2013.32,1351.73,2564.69,661.1,1302.47,855.01,839.35,1031.32,1465.78,1230.16,1700.35,1249.07,1455.27,1496.35,1183.25,1526.29,505.86,2716.06,990.11,2875.34,2290.1,1557.2,1967.25,964.17,1346.61,1817.38,1301.15,2908,795.02,1045.7
1970,1143.67,959.83,2538.48,1939,1520.54,625.34,2358.53,2354.79,1832.23,1144.76,2229.04,623.44,1074.99,778.54,797.03,870.29,1323.03,1069.76,1702.51,1051.54,1494.03,1393.8,1132.08,1299.1,589.8,2267.66,845.09,2549.28,1978.85,1422.31,1774.14,830.73,1141.63,1700,1052.56,2427.74,690.99,917.57
1971,1128.71,944.22,2738.54,1936.6,1567.2,535.78,2542.11,2285.87,1809.18,1245.57,2208.34,659.9,1125.45,760.95,687.51,815.31,1354.49,1072.43,1351.83,1080.15,1180.12,1246.58,1056.19,1301.68,541.12,2259.07,923.16,2489.48,2039.14,1343.38,1791.19,865.76,1233.62,1574.33,1127.38,2413.13,567.68,796.66
1972,1083.99,1066.61,2402.29,1854.8,1552.8,504.4,2310.51,2116.46,1658.31,1150.39,2129.64,513.96,1104.01,707.16,622.23,835.93,1259.42,1029.42,1302.85,1037.94,1164.19,1143.21,1007.7,1373.17,450.41,2191.24,843.67,2378.01,1976.7,1227.8,1731.38,841.26,1199.36,1414.29,1157.05,2318.73,557.61,764.83
1973,991.81,1016.04,2193.03,1687.14,1318.27,415.23,2098.01,2129.8,1735.68,1074.27,1968.35,403.18,923.76,574.36,518.16,609.96,1220.2,1168.54,1470.39,1001.86,1318.42,1444.57,1237,1195.77,341.8,2022.72,663.14,2269.59,1735.13,1412.46,1500.92,709.24,1017.08,1671.29,916.77,2161.53,402.47,583.04
